x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007
167.5,8.,167.5,0.,167.5,1.,167.5,2.,104.5,0.1510167718,104.5,0.1020710043,104.5,0.0813789376,104.5,0.3159954072
169.,3.,169.,3.,169.,4.,169.,0.,104.6,0.1510212588,104.6,0.1018965926,104.6,0.0810673355,104.6,0.3167029498
170.5,7.,170.5,2.,170.5,4.,170.5,3.,104.7,0.1510158643,104.7,0.1017200656,104.7,0.080760641,104.7,0.3174777328
172.,2.,172.,0.,172.,1.,172.,1.,104.8,0.1509993417,104.8,0.1015426229,104.8,0.0804592823,104.8,0.3183167050
173.5,8.,173.5,1.,173.5,5.,173.5,1.,104.9,0.1509705424,104.9,0.1013654735,104.9,0.0801637664,104.9,0.3192165182
175.,8.,175.,1.,175.,4.,175.,0.,105.,0.1509284200,105.,0.1011898303,105.,0.0798746753,105.,0.3201735444
176.5,4.,176.5,0.,176.5,4.,176.5,0.,105.1,0.1508720326,105.1,0.1010169044,105.1,0.0795926627,105.1,0.3211838959
178.,8.,178.,3.,178.,6.,178.,0.,105.2,0.1508005452,105.2,0.1008478982,105.2,0.0793184489,105.2,0.3222434462
179.5,6.,179.5,1.,179.5,5.,179.5,0.,105.3,0.15071323,105.3,0.1006839991,105.3,0.0790528159,105.3,0.3233478529
181.,4.,181.,3.,181.,1.,181.,2.,105.4,0.1506094665,105.4,0.1005263718,105.4,0.078796601,105.4,0.3244925826
182.5,2.,182.5,0.,182.5,5.,182.5,2.,105.5,0.1504887407,105.5,0.100376151,105.5,0.078550691,105.5,0.3256729363
184.,2.,184.,2.,184.,1.,184.,2.,105.6,0.1503506429,105.6,0.1002344337,105.6,0.0783160145,105.6,0.3268840772
185.5,7.,185.5,2.,185.5,5.,185.5,2.,105.7,0.1501948653,105.7,0.1001022714,105.7,0.0780935346,105.7,0.3281210576
187.,6.,187.,2.,187.,7.,187.,0.,105.8,0.1500211984,105.8,0.0999806621,105.8,0.0778842405,105.8,0.3293788487
188.5,4.,188.5,1.,188.5,2.,188.5,1.,105.9,0.1498295268,105.9,0.0998705432,105.9,0.0776891391,105.9,0.3306523691
190.,5.,190.,2.,190.,2.,190.,0.,106.,0.149619825,106.,0.0997727834,106.,0.0775092459,106.,0.3319365146
191.5,5.,191.5,0.,191.5,3.,191.5,2.,106.1,0.1493921513,106.1,0.0996881766,106.1,0.0773455759,106.1,0.3332261878
193.,6.,193.,0.,193.,6.,193.,3.,106.2,0.1491466429,106.2,0.0996174348,106.2,0.0771991333,106.2,0.3345163269
194.5,1.,194.5,0.,194.5,2.,194.5,0.,106.3,0.1488835093,106.3,0.0995611826,106.3,0.0770709025,106.3,0.3358019355
196.,3.,196.,2.,196.,2.,196.,0.,106.4,0.1486030258,106.4,0.0995199524,106.4,0.0769618376,106.4,0.33707811
197.5,5.,197.5,1.,197.5,2.,197.5,1.,106.5,0.1483055272,106.5,0.09949418,106.5,0.0768728525,106.5,0.3383400671
199.,4.,199.,0.,199.,0.,199.,2.,106.6,0.147991401,106.6,0.0994842016,106.6,0.0768048112,106.6,0.3395831703
200.5,0.,200.5,2.,200.5,1.,200.5,2.,106.7,0.1476610801,106.7,0.0994902519,106.7,0.0767585175,106.7,0.3408029540
202.,2.,202.,0.,202.,0.,202.,1.,106.8,0.1473150369,106.8,0.0995124629,106.8,0.0767347056,106.8,0.3419951474
203.5,3.,203.5,0.,203.5,1.,203.5,1.,106.9,0.1469537757,106.9,0.0995508648,106.9,0.076734031,106.9,0.3431556952
205.,2.,205.,1.,205.,3.,205.,3.,107.,0.1465778269,107.,0.0996053867,107.,0.0767570612,107.,0.3442807773
206.5,3.,206.5,0.,206.5,0.,206.5,0.,107.1,0.1461877406,107.1,0.0996758601,107.1,0.0768042674,107.1,0.3453668264
208.,1.,208.,1.,208.,1.,208.,1.,107.2,0.1457840806,107.2,0.0997620228,107.2,0.0768760171,107.2,0.3464105422
209.5,0.,209.5,0.,209.5,2.,209.5,0.,107.3,0.1453674191,107.3,0.0998635239,107.3,0.0769725662,107.3,0.3474089046
211.,2.,211.,1.,211.,0.,211.,2.,107.4,0.1449383318,107.4,0.0999799307,107.4,0.0770940534,107.4,0.3483591837
212.5,0.,212.5,0.,212.5,2.,212.5,1.,107.5,0.1444973929,107.5,0.1001107358,107.5,0.0772404939,107.5,0.3492589469
214.,2.,214.,1.,214.,0.,214.,2.,107.6,0.1440451717,107.6,0.1002553662,107.6,0.0774117756,107.6,0.3501060639
215.5,1.,215.5,0.,215.5,1.,215.5,1.,107.7,0.1435822286,107.7,0.1004131925,107.7,0.0776076549,107.7,0.3508987091
217.,3.,217.,0.,217.,0.,217.,4.,107.8,0.1431091126,107.8,0.1005835394,107.8,0.0778277543,107.8,0.3516353608
218.5,0.,218.5,0.,218.5,0.,218.5,2.,107.9,0.1426263588,107.9,0.1007656966,107.9,0.0780715608,107.9,0.3523147984
220.,2.,220.,1.,220.,0.,220.,1.,108.,0.1421344870,108.,0.1009589306,108.,0.0783384257,108.,0.3529360964
221.5,0.,221.5,0.,221.5,1.,221.5,2.,108.1,0.1416340002,108.1,0.1011624962,108.1,0.0786275653,108.1,0.3534986169
223.,1.,223.,0.,223.,2.,223.,1.,108.2,0.1411253842,108.2,0.1013756489,108.2,0.0789380626,108.2,0.3540019986
224.5,2.,224.5,1.,224.5,0.,224.5,2.,108.3,0.1406091076,108.3,0.1015976568,108.3,0.0792688708,108.3,0.3544461449
226.,0.,226.,0.,226.,1.,226.,0.,108.4,0.1400856224,108.4,0.1018278129,108.4,0.0796188168,108.4,0.3548312089
227.5,0.,227.5,0.,227.5,0.,227.5,0.,108.5,0.1395553649,108.5,0.1020654461,108.5,0.0799866073,108.5,0.3551575776
229.,1.,229.,1.,229.,1.,229.,0.,108.6,0.1390187568,108.6,0.1023099327,108.6,0.0803708347,108.6,0.3554258539
230.5,6.,230.5,0.,230.5,2.,230.5,0.,108.7,0.1384762073,108.7,0.1025607068,108.7,0.0807699844,108.7,0.3556368374
232.,1.,232.,0.,232.,3.,232.,0.,108.8,0.1379281151,108.8,0.1028172695,108.8,0.0811824434,108.8,0.3557915047
233.5,3.,233.5,1.,233.5,2.,233.5,0.,108.9,0.1373748705,108.9,0.1030791979,108.9,0.0816065094,108.9,0.3558909882
235.,3.,235.,1.,235.,1.,235.,0.,109.,0.1368168581,109.,0.1033461522,109.,0.0820404005,109.,0.3559365549
236.5,0.,236.5,0.,236.5,1.,236.5,0.,109.1,0.1362544593,109.1,0.1036178823,109.1,0.0824822662,109.1,0.3559295853
238.,3.,238.,0.,238.,3.,238.,1.,109.2,0.135688055,109.2,0.1038942319,109.2,0.0829301985,109.2,0.3558715515
239.5,1.,239.5,0.,239.5,3.,239.5,1.,109.3,0.1351180283,109.3,0.1041751427,109.3,0.0833822431,109.3,0.3557639966
241.,0.,241.,0.,241.,0.,241.,0.,109.4,0.1345447671,109.4,0.1044606560,109.4,0.0838364123,109.4,0.3556085145
242.5,0.,242.5,0.,242.5,2.,242.5,0.,109.5,0.1339686666,109.5,0.1047509131,109.5,0.0842906961,109.5,0.3554067303
244.,0.,244.,0.,244.,1.,244.,0.,109.6,0.1333901315,109.6,0.1050461542,109.6,0.0847430757,109.6,0.3551602827
245.5,2.,245.5,1.,245.5,0.,245.5,0.,109.7,0.1328095783,109.7,0.1053467156,109.7,0.0851915345,109.7,0.3548708068
247.,1.,247.,0.,247.,2.,247.,0.,109.8,0.132227437,109.8,0.1056530259,109.8,0.0856340712,109.8,0.3545399196
248.5,1.,248.5,0.,248.5,1.,248.5,0.,109.9,0.1316441523,109.9,0.1059655999,109.9,0.0860687114,109.9,0.3541692068
250.,4.,250.,1.,250.,0.,250.,2.,110.,0.1310601854,110.,0.1062850320,110.,0.0864935185,110.,0.3537602112
251.5,1.,251.5,2.,251.5,2.,251.5,1.,110.1,0.1304760144,110.1,0.1066119877,110.1,0.0869066053,110.1,0.3533144244
253.,0.,253.,2.,253.,1.,253.,0.,110.2,0.1298921348,110.2,0.1069471937,110.2,0.0873061442,110.2,0.3528332792
254.5,3.,254.5,0.,254.5,0.,254.5,0.,110.3,0.1293090595,110.3,0.1072914282,110.3,0.0876903766,110.3,0.3523181458
256.,2.,256.,1.,256.,1.,256.,0.,110.4,0.1287273187,110.4,0.1076455085,110.4,0.0880576221,110.4,0.3517703292
257.5,0.,257.5,1.,257.5,1.,257.5,1.,110.5,0.1281474591,110.5,0.1080102790,110.5,0.0884062863,110.5,0.3511910690
259.,2.,259.,1.,259.,2.,259.,2.,110.6,0.1275700428,110.6,0.1083865984,110.6,0.0887348681,110.6,0.3505815423
260.5,3.,260.5,2.,260.5,2.,260.5,0.,110.7,0.126995646,110.7,0.1087753261,110.7,0.0890419660,110.7,0.3499428673
262.,1.,262.,0.,262.,3.,262.,0.,110.8,0.1264248572,110.8,0.1091773083,110.8,0.0893262831,110.8,0.3492761105
263.5,1.,263.5,0.,263.5,0.,263.5,1.,110.9,0.1258582755,110.9,0.1095933644,110.9,0.0895866316,110.9,0.3485822943
265.,2.,265.,0.,265.,0.,265.,0.,111.,0.1252965080,111.,0.1100242730,111.,0.0898219359,111.,0.3478624075
266.5,2.,266.5,0.,266.5,0.,266.5,1.,111.1,0.1247401680,111.1,0.1104707583,111.1,0.0900312350,111.1,0.3471174163
268.,0.,268.,0.,268.,1.,268.,1.,111.2,0.1241898718,111.2,0.1109334767,111.2,0.0902136838,111.2,0.3463482777
269.5,0.,269.5,0.,269.5,2.,269.5,1.,111.3,0.1236462362,111.3,0.1114130039,111.3,0.0903685531,111.3,0.3455559523
271.,0.,271.,0.,271.,1.,271.,1.,111.4,0.1231098762,111.4,0.1119098231,111.4,0.0904952299,111.4,0.3447414195
272.5,0.,272.5,0.,272.5,2.,272.5,0.,111.5,0.1225814017,111.5,0.1124243133,111.5,0.0905932153,111.5,0.3439056923
274.,2.,274.,0.,274.,0.,274.,0.,111.6,0.1220614149,111.6,0.1129567389,111.6,0.0906621227,111.6,0.3430498319
275.5,3.,275.5,0.,275.5,0.,275.5,0.,111.7,0.1215505078,111.7,0.1135072402,111.7,0.0907016749,111.7,0.3421749632
277.,0.,277.,0.,277.,2.,277.,0.,111.8,0.1210492593,111.8,0.1140758252,111.8,0.0907117008,111.8,0.3412822893
278.5,0.,278.5,0.,278.5,4.,278.5,0.,111.9,0.1205582327,111.9,0.1146623625,111.9,0.0906921311,111.9,0.3403731052
280.,2.,280.,0.,280.,0.,280.,1.,112.,0.1200779737,112.,0.1152665748,112.,0.0906429943,112.,0.3394488110
281.5,0.,281.5,1.,281.5,0.,281.5,0.,112.1,0.1196090078,112.1,0.1158880352,112.1,0.0905644114,112.1,0.3385109234
283.,2.,283.,0.,283.,3.,283.,1.,112.2,0.1191518384,112.2,0.1165261631,112.2,0.0904565912,112.2,0.3375610862
284.5,2.,284.5,1.,284.5,0.,284.5,2.,112.3,0.1187069452,112.3,0.1171802227,112.3,0.0903198247,112.3,0.3366010787
286.,4.,286.,1.,286.,3.,286.,1.,112.4,0.1182747821,112.4,0.1178493223,112.4,0.0901544801,112.4,0.3356328228
287.5,0.,287.5,0.,287.5,4.,287.5,0.,112.5,0.1178557763,112.5,0.1185324153,112.5,0.0899609969,112.5,0.3346583876
289.,3.,289.,0.,289.,2.,289.,0.,112.6,0.1174503267,112.6,0.1192283020,112.6,0.0897398809,112.6,0.3336799918
290.5,1.,290.5,0.,290.5,1.,290.5,1.,112.7,0.1170588030,112.7,0.1199356333,112.7,0.0894916987,112.7,0.3327000044
292.,3.,292.,0.,292.,2.,292.,1.,112.8,0.1166815449,112.8,0.1206529153,112.8,0.0892170729,112.8,0.3317209424
293.5,1.,293.5,0.,293.5,0.,293.5,1.,112.9,0.1163188610,112.9,0.1213785153,112.9,0.0889166772,112.9,0.3307454665
295.,2.,295.,0.,295.,0.,295.,1.,113.,0.1159710285,113.,0.1221106687,113.,0.0885912319,113.,0.3297763744
296.5,4.,296.5,0.,296.5,0.,296.5,1.,113.1,0.1156382927,113.1,0.1228474873,113.1,0.0882414997,113.1,0.3288165916
298.,2.,298.,1.,298.,2.,298.,0.,113.2,0.1153208663,113.2,0.1235869686,113.2,0.0878682819,113.2,0.3278691597
299.5,0.,299.5,0.,299.5,3.,299.5,0.,113.3,0.1150189291,113.3,0.1243270054,113.3,0.0874724152,113.3,0.3269372233
301.,1.,301.,0.,301.,0.,301.,0.,113.4,0.1147326280,113.4,0.1250653974,113.4,0.0870547686,113.4,0.3260240139
302.5,0.,302.5,2.,302.5,1.,302.5,0.,113.5,0.1144620763,113.5,0.1257998624,113.5,0.0866162405,113.5,0.3251328320
304.,0.,304.,0.,304.,0.,304.,0.,113.6,0.1142073531,113.6,0.1265280489,113.6,0.0861577574,113.6,0.3242670284
305.5,1.,305.5,0.,305.5,0.,305.5,0.,113.7,0.1139685036,113.7,0.1272475491,113.7,0.0856802709,113.7,0.3234299822
307.,0.,307.,0.,307.,0.,307.,0.,113.8,0.1137455380,113.8,0.1279559121,113.8,0.0851847575,113.8,0.3226250791
308.5,2.,308.5,2.,308.5,0.,308.5,0.,113.9,0.1135384315,113.9,0.128650658,113.9,0.0846722164,113.9,0.3218556879
310.,1.,310.,0.,310.,2.,310.,0.,114.,0.1133471232,114.,0.1293292919,114.,0.0841436696,114.,0.3211251355
311.5,0.,311.5,0.,311.5,2.,311.5,0.,114.1,0.1131715158,114.1,0.1299893182,114.1,0.0836001608,114.1,0.3204366825
313.,1.,313.,1.,313.,0.,313.,1.,114.2,0.1130114748,114.2,0.1306282551,114.2,0.083042755,114.2,0.3197934975
314.5,0.,314.5,0.,314.5,1.,314.5,0.,114.3,0.1128668276,114.3,0.1312436492,114.3,0.0824725386,114.3,0.319198632
316.,1.,316.,1.,316.,0.,316.,0.,114.4,0.1127373629,114.4,0.1318330892,114.4,0.0818906191,114.4,0.3186549943
317.5,0.,317.5,0.,317.5,0.,317.5,0.,114.5,0.1126228295,114.5,0.1323942211,114.5,0.081298125,114.5,0.3181653256
319.,0.,319.,0.,319.,0.,319.,0.,114.6,0.1125229356,114.6,0.1329247613,114.6,0.0806962053,114.6,0.3177321752
320.5,0.,320.5,0.,320.5,1.,320.5,0.,114.7,0.1124373476,114.7,0.1334225104,114.7,0.0800860299,114.7,0.3173578772
322.,0.,322.,0.,322.,1.,322.,0.,114.8,0.1123656898,114.8,0.1338853667,114.8,0.0794687886,114.8,0.3170445288
323.5,2.,323.5,0.,323.5,0.,323.5,0.,114.9,0.112307543,114.9,0.1343113382,114.9,0.0788456908,114.9,0.3167939694
325.,0.,325.,0.,325.,0.,325.,0.,115.,0.1122624441,115.,0.1346985551,115.,0.0782179643,115.,0.3166077613
326.5,0.,326.5,0.,326.5,0.,326.5,0.,115.1,0.1122298854,115.1,0.1350452809,115.1,0.0775868547,115.1,0.3164871727
328.,0.,328.,1.,328.,1.,328.,0.,115.2,0.1122093142,115.2,0.1353499229,115.2,0.0769536231,115.2,0.3164331621
329.5,0.,329.5,0.,329.5,0.,329.5,0.,115.3,0.1122001328,115.3,0.1356110421,115.3,0.0763195448,115.3,0.3164463649
331.,0.,331.,0.,331.,0.,331.,0.,115.4,0.1122016979,115.4,0.1358273619,115.4,0.0756859066,115.4,0.3165270827
332.5,0.,332.5,0.,332.5,0.,332.5,0.,115.5,0.1122133214,115.5,0.1359977762,115.5,0.0750540043,115.5,0.3166752738
334.,1.,334.,0.,334.,0.,334.,0.,115.6,0.1122342709,115.6,0.1361213557,115.6,0.0744251392,115.6,0.3168905478
335.5,0.,335.5,1.,335.5,2.,335.5,0.,115.7,0.1122637702,115.7,0.1361973544,115.7,0.0738006148,115.7,0.3171721605
337.,1.,337.,0.,337.,2.,337.,1.,115.8,0.1123010009,115.8,0.1362252138,115.8,0.0731817324,115.8,0.3175190136
338.5,1.,338.5,0.,338.5,0.,338.5,0.,115.9,0.1123451036,115.9,0.1362045667,115.9,0.0725697869,115.9,0.3179296545
340.,1.,340.,0.,340.,2.,340.,0.,116.,0.1123951802,116.,0.1361352393,116.,0.0719660619,116.,0.3184022807
341.5,0.,341.5,0.,341.5,0.,341.5,0.,116.1,0.1124502956,116.1,0.1360172527,116.1,0.071371824,116.1,0.3189347456
343.,1.,343.,0.,343.,1.,343.,0.,116.2,0.1125094813,116.2,0.1358508226,116.2,0.0707883178,116.2,0.3195245661
344.5,0.,344.5,0.,344.5,0.,344.5,1.,116.3,0.1125717373,116.3,0.1356363584,116.3,0.0702167599,116.3,0.3201689341
346.,0.,346.,0.,346.,0.,346.,1.,116.4,0.1126360365,116.4,0.1353744606,116.4,0.0696583326,116.4,0.3208647291
347.5,0.,347.5,1.,347.5,2.,347.5,0.,116.5,0.1127013281,116.5,0.1350659176,116.5,0.069114178,116.5,0.321608533
349.,1.,349.,0.,349.,0.,349.,0.,116.6,0.1127665414,116.6,0.1347117006,116.6,0.0685853915,116.6,0.3223966471
350.5,0.,350.5,0.,350.5,0.,350.5,1.,116.7,0.1128305908,116.7,0.1343129583,116.7,0.0680730157,116.7,0.3232251114
352.,0.,352.,0.,352.,1.,352.,0.,116.8,0.1128923802,116.8,0.1338710101,116.8,0.0675780339,116.8,0.3240897248
353.5,0.,353.5,2.,353.5,0.,353.5,0.,116.9,0.1129508081,116.9,0.1333873385,116.9,0.067101364,116.9,0.3249860676
355.,0.,355.,0.,355.,1.,355.,0.,117.,0.1130047726,117.,0.1328635802,117.,0.0666438528,117.,0.3259095251
356.5,0.,356.5,0.,356.5,0.,356.5,0.,117.1,0.1130531770,117.1,0.1323015174,117.1,0.0662062703,117.1,0.3268553121
358.,0.,358.,0.,358.,0.,358.,1.,117.2,0.1130949355,117.2,0.1317030671,117.2,0.0657893041,117.2,0.3278184992
359.5,2.,359.5,0.,359.5,0.,359.5,0.,117.3,0.1131289783,117.3,0.1310702712,117.3,0.0653935553,117.3,0.3287940398
361.,1.,361.,0.,361.,0.,361.,0.,117.4,0.1131542578,117.4,0.1304052845,117.4,0.0650195334,117.4,0.3297767971
362.5,0.,362.5,0.,362.5,0.,362.5,0.,117.5,0.1131697542,117.5,0.1297103642,117.5,0.0646676530,117.5,0.3307615721
364.,1.,364.,0.,364.,2.,364.,0.,117.6,0.1131744809,117.6,0.1289878571,117.6,0.0643382307,117.6,0.3317431324
365.5,2.,365.5,0.,365.5,3.,365.5,0.,117.7,0.1131674907,117.7,0.1282401882,117.7,0.0640314824,117.7,0.3327162403
